family,edge_strength,n,reference_delta,method,setting,replications,false_prunes,true_prunes,edges,nonedges,moral_only,familywise_errors,practical_false_prunes,practical_true_prunes,practical_present,practical_absent,practical_familywise_errors,false_prune_rate,true_prune_rate,moral_graph_prune_ceiling,practical_false_prune_rate,practical_true_prune_rate,familywise_error_rate,practical_familywise_error_rate,practical_familywise_upper_bound,familywise_upper_bound
additive_nonlinear,realistic,375,0.05,pc,0.01,100,596,8618,1762,8738,839,100,583,8631,1730,8770,100,0.33825198637911463,0.9862668802929733,0.9039826047150378,0.3369942196531792,0.9841505131128848,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,pc,0.05,100,565,8475,1762,8738,839,100,555,8485,1730,8770,100,0.3206583427922815,0.9699015793087663,0.9039826047150378,0.3208092485549133,0.9675028506271379,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,pc,0.1,100,528,8291,1762,8738,839,100,520,8299,1730,8770,100,0.2996594778660613,0.9488441290913252,0.9039826047150378,0.30057803468208094,0.9462941847206385,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,pc,0.2,100,488,7920,1762,8738,839,100,480,7928,1730,8770,100,0.27695800227014755,0.9063859006637675,0.9039826047150378,0.2774566473988439,0.9039908779931585,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.05,renca,0.05,100,0,43,1762,8738,839,0,0,43,1730,8770,0,0.0,0.004921034561684596,0.9039826047150378,0.0,0.004903078677309008,0.0,0.0,0.02922515353903906,0.02922515353903906
additive_nonlinear,realistic,375,0.1,conservative_pc,0.05,100,565,8475,1762,8738,839,100,489,8551,1527,8973,100,0.3206583427922815,0.9699015793087663,0.9039826047150378,0.32023575638506874,0.952970021174635,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.1,ebicglasso,0.0,100,501,7702,1762,8738,839,100,432,7771,1527,8973,98,0.28433598183881953,0.8814373998626688,0.9039826047150378,0.2829076620825147,0.8660425721609272,1.0,0.98,0.9918560999260562,0.9994922745363412
additive_nonlinear,realistic,375,0.1,ebicglasso,0.25,100,542,8057,1762,8738,839,100,467,8132,1527,8973,99,0.3076049943246311,0.9220645456626231,0.9039826047150378,0.3058284217419777,0.9062743786916304,1.0,0.99,0.9964702598558379,0.9994922745363412
additive_nonlinear,realistic,375,0.1,ebicglasso,0.5,100,570,8255,1762,8738,839,100,491,8334,1527,8973,100,0.32349602724177073,0.9447241931792172,0.9039826047150378,0.32154551407989523,0.9287863590772317,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.1,ebicglasso,1.0,100,622,8464,1762,8738,839,100,525,8561,1527,8973,100,0.3530079455164586,0.9686427100022889,0.9039826047150378,0.343811394891945,0.9540844756491698,1.0,1.0,0.9994922745363412,0.9994922745363412
additive_nonlinear,realistic,375,0.1,fci,0.001,100,624,8672,1762,8738,839,100,530,8766,1527,8973,100,0.35414301929625425,0.9924467841611353,0.9039826047150378,0.3470857891290111,0.9769307923771314,1.0,1.0,0.9994922745363412,0.9994922745363412
