replicate,theta_hat,se_theta,z,z_bias_corrected,wald_reject,critical_reject,bias_corrected_reject
251,0.041487544789184885,0.011778996177259703,-0.7226808704844556,-0.6714705373937248,False,False,False
252,0.040511219878218284,0.00984778233547219,-0.9635448671121287,-0.90229185631607,False,False,False
253,0.035762902214117494,0.00977594050424088,-1.456340469718115,-1.3946373202922118,False,False,False
254,0.04826971974507452,0.010903499653529516,-0.1586903572162158,-0.10336809034049271,False,False,False
255,0.06122460456970328,0.013256675208566856,0.8467134023506592,0.8922154839979567,False,False,False
256,0.04623026329729843,0.011736501937452326,-0.32119763817121477,-0.2698018883194618,False,False,False
257,0.05765842108622434,0.012680524331301356,0.6039514523322856,0.6515209614434289,False,False,False
258,0.04933110688913312,0.012566569305818903,-0.05322798089030977,-0.005227106265554242,False,False,False
259,0.05520924262934228,0.013090844864627874,0.3979302087230377,0.44400869517289304,False,False,False
260,0.05496081409093431,0.012274238514095098,0.4041647133740776,0.45330880626580555,False,False,False
261,0.036666750057997737,0.01242035738191707,-1.0734997014992729,-1.0249337626004351,False,False,False
262,0.04341429211131699,0.011241419326624834,-0.5858430948381258,-0.5321838281400812,False,False,False
263,0.04819870349218966,0.012282015787072578,-0.1466613086189236,-0.09754833496953143,False,False,False
264,0.051859699344073945,0.016338643069715934,0.11382214154129724,0.15074113873941655,False,False,False
265,0.04665924245765129,0.01219649241154682,-0.2739113369337162,-0.22445397678803705,False,False,False
266,0.0658394719127961,0.012524907327998654,1.2646378530392746,1.312798394424158,False,False,False
267,0.08855472471003648,0.017273942027610303,2.2319586721092044,2.266878687282797,False,False,False
268,0.023306027374532644,0.008464660203316073,-3.1535787597250344,-3.082317031170874,True,True,True
269,0.041535750476001394,0.010686453309394666,-0.7920541342334341,-0.7356082489384855,False,False,False
270,0.050163484511468785,0.011231997843509747,0.014555247761487927,0.06825952425050708,False,False,False
271,0.04477812174264694,0.010892037620526542,-0.4794216141442804,-0.4240411299109957,False,False,False
272,0.04658124429038684,0.010492697743897376,-0.3258223760044488,-0.26833417493025474,False,False,False
